Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options,category_group,horsepower,torque_nm,displacement_cc,weight_lbs,seat_height_in,fuel_capacity_gal,rating_clean,power_to_weight,hp_per_cc,quality_score,value_score,beginner_score,performance_score,touring_score,commuting_score,utility_base,cluster
honda,sh300i,2012,Scooter,3.5,279.1,26.8,26,Single cylinder,four-stroke,Automatic,72,68.5,9,Injection. PGM-FI,Single Overhead Cams (SOHC),Liquid,Belt,161.8,1420,785,"Single disc. Triple-piston calliper, drilled rotor (ABS) and sintered metal pads","Single disc. Single-piston calliper, drilled rotor (ABS) and sintered metal pads",110/70-(16,130/70-(16,35mm telescopic fork,Dual-damper unit swingarm,"Light blue, blue, white, black",Scooter,26.8,26,279.1,356.707516,30.905511811023622,2.377548,3.5,0.07513158203260287,0.096022930849158,70,8.375465330219448,100,9.990251819712997,40,90,59.49756295492825,8
honda,sh300i,2013,Scooter,3.5,279.1,26.8,26,Single cylinder,four-stroke,Automatic,72,68.5,9,Injection. PGM-FI,Single Overhead Cams (SOHC),Liquid,Belt,165,1420,785,"Single disc. Triple-piston calliper, drilled rotor (ABS) and sintered metal pads","Single disc. Single-piston calliper, drilled rotor (ABS) and sintered metal pads",110/70-(16,130/70-(16,35mm telescopic fork,Dual-damper unit swingarm,"Purple, silver, white, black",Scooter,26.8,26,279.1,363.7623,30.905511811023622,2.377548,3.5,0.07367448468409178,0.096022930849158,70,8.375465330219448,100,9.781388707481486,40,90,59.44534717687037,8
honda,sh300i c-abs,2010,Scooter,3.7,279.1,26.8,26,Single cylinder,four-stroke,Automatic,72,68.5,9,Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Liquid,Belt,164,1420,785,Single disc. C-ABS,Single disc. C-ABS,110/70-(16,130/70-(16,"35mm telescopic fork, 102mm axle travel ","Dual-damper unit swingarm, 95mm axle travel ",NA,Scooter,26.8,26,279.1,361.55767999999995,30.905511811023622,2.377548,3.7,0.07412371934679968,0.096022930849158,74,8.375465330219448,100,9.845782860604695,40,90,60.06144571515117,8
honda,sh300i sporty,2010,Scooter,NA,279.1,26.8,26,Single cylinder,four-stroke,NA,NA,NA,9,Injection. PGM-FI,Single Overhead Cams (SOHC),Liquid,Belt,162,NA,785,Single disc,Single disc,110/70-16,130/70-16,35mm telescopic fork,Dual-damper unit swingarm,NA,Scooter,26.8,26,279.1,357.14844,30.905511811023622,2.377548,3.5,0.07503882699305645,0.096022930849158,70,8.375465330219448,100,9.976956135485295,40,90,59.494239033871324,8
honda,shadow 125,2002,Custom / cruiser,3.9,125,15,10.5,V2,four-stroke,5-speed,42,45,14.5,NA,NA,NA,Chain,145,1530,680,Single disc,Expanding brake,110/90-17 55P,130/90-15M/C 66P,NA,NA,NA,Cruiser,15,10.5,125,319.6699,26.77165354330709,3.8304940000000003,3.9,0.04692340442437652,0.12,78,10.867601235712904,100,5.946837855880291,40,60,55.186709463970075,8
honda,shadow 125,2006,Custom / cruiser,3.3,125,14.8,10.5,V2,four-stroke,5-speed,42,45,14.5,NA,Single Overhead Cams (SOHC),Liquid,Chain,146,1530,680,Single disc,Expanding brake (drum brake),NA,NA,NA,NA,NA,Cruiser,14.8,10.5,125,321.87451999999996,26.77165354330709,3.8304940000000003,3.3,0.045980651093475815,0.1184,66,10.701299949108428,100,5.811701795849881,40,60,53.35292544896247,8
honda,shadow 400,2002,Custom / cruiser,3.6,398,33,34,V2,four-stroke,5-speed,64,62,14,Carburettor,Overhead Cams (OHC),Liquid,NA,225,1620,675,Single disc,Expanding brake,120/90-17 64S,170/80-15 M/C 77S,NA,NA,NA,Cruiser,33,34,398,496.0395,26.5748031496063,3.698408,3.6,0.0665269600505605,0.0829145728643216,72,7.013004831375475,80,8.756848898088396,40,60,49.98921222452209,1
honda,shadow 750,2007,Custom / cruiser,3.7,745,44.3,64,V2,four-stroke,5-speed,79,76,14,Carburettor. 34 mm of equal pressure carburetors,NA,Liquid,Shaft drive,238,1640,658,Single disc,Expanding brake (drum brake),120/90-17,160/80-15,Teleskopgabel,Rocker of 2 shock struts,"Graphite Black,Titanium Metallic",Cruiser,44.3,64,745,524.6995599999999,25.905511811023622,3.698408,3.7,0.08442926843696992,0.059463087248322145,74,4.575497187171044,60,11.322999917122578,40,60,45.93074997928064,1
honda,shadow 750 black spirit,2010,Custom / cruiser,3.4,745,44.9,65,V2,four-stroke,5-speed,79,76,14.6,Injection. PGM-FI electronic fuel injection with automatic choke ,Single Overhead Cams (SOHC),Liquid,Shaft drive,251,1639,652,Single disc,Expanding brake (drum brake),90/90-M21,160/80-M15,"41mm telescopic fork, 117mm axle travel ","Dual conventional dampers with 5-step adjustable spring preload, 90mm axle travel ",Black,Cruiser,44.9,65,745,553.35962,25.669291338582678,3.8569112000000003,3.4,0.08114072364008057,0.06026845637583893,68,4.659205888482022,60,10.851613635558824,40,60,44.912903408889704,1
honda,shadow 750 c-abs,2010,Custom / cruiser,3.5,745,44.9,64,V2,four-stroke,5-speed,79,76,14.6,Injection. PGM-FI electronic fuel injection with automatic choke ,Single Overhead Cams (SOHC),Liquid,Shaft drive,262,1640,658,Single disc,Single disc,120/90-M17,160/80-M15,"41mm telescopic fork, 116mm axle travel ","Dual conventional dampers with 5-step adjustable spring preload, 90mm axle travel ","Black, red/gray",Cruiser,44.9,64,745,577.6104399999999,25.905511811023622,3.8569112000000003,3.5,0.07773405203687109,0.06026845637583893,70,4.659205888482022,60,10.363294832340834,40,60,45.09082370808521,1
